Year,Athlete,cc_iso2c,finalscore,event,rank
2016,Ashton Eaton,us,8893,1,2
2016,Kévin Mayer,fr,8834,1,7
2016,Damian Warner,ca,8666,1,1
2016,Kai Kazmirek,de,8580,1,6
2016,Larbi Bourrada,dz,8521,1,4
2016,Leonel Suárez,cu,8460,1,20
2016,Zach Ziemek,us,8392,1,3
2016,Thomas van der Plaetsen,be,8332,1,21
2016,Kurt Felix,gd,8323,1,15
2016,Luiz Alberto de Araújo,br,8315,1,5
2016,Jeremy Taiwo,us,8300,1,16
2016,Adam Helcelet,cz,8291,1,18
2016,Bastien Auzeil,fr,8064,1,19
2016,Cedric Dubler,au,8024,1,12
2016,Arthur Abele,de,8013,1,13
2016,Lindon Victor,gd,7998,1,10
2016,Pau Tonnesen,es,7982,1,23
2016,Yordanis García,cu,7961,1,7
2016,Dominik Distelberger,at,7954,1,11
2016,Keisuke Ushiro,jp,7952,1,22
2016,Pawel Wiesiolek,pl,7784,1,14
2016,Akihiko Nakamura,jp,7612,1,17
2016,Karl Robert Saluri,ee,7223,1,9
2016,Ashton Eaton,us,8893,2,1
2016,Kévin Mayer,fr,8834,2,4
2016,Damian Warner,ca,8666,2,2
2016,Kai Kazmirek,de,8580,2,3
2016,Larbi Bourrada,dz,8521,2,6
2016,Leonel Suárez,cu,8460,2,20
2016,Zach Ziemek,us,8392,2,5
2016,Thomas van der Plaetsen,be,8332,2,11
2016,Kurt Felix,gd,8323,2,9
2016,Luiz Alberto de Araújo,br,8315,2,7
2016,Jeremy Taiwo,us,8300,2,12
2016,Adam Helcelet,cz,8291,2,13
2016,Bastien Auzeil,fr,8064,2,21
2016,Cedric Dubler,au,8024,2,8
2016,Arthur Abele,de,8013,2,16
2016,Lindon Victor,gd,7998,2,14
2016,Pau Tonnesen,es,7982,2,18
2016,Yordanis García,cu,7961,2,19
2016,Dominik Distelberger,at,7954,2,10
2016,Keisuke Ushiro,jp,7952,2,23
2016,Pawel Wiesiolek,pl,7784,2,22
2016,Akihiko Nakamura,jp,7612,2,16
2016,Karl Robert Saluri,ee,7223,2,15
2016,Ashton Eaton,us,8893,3,1
2016,Kévin Mayer,fr,8834,3,3
2016,Damian Warner,ca,8666,3,2
2016,Kai Kazmirek,de,8580,3,5
2016,Larbi Bourrada,dz,8521,3,6
2016,Leonel Suárez,cu,8460,3,18
2016,Zach Ziemek,us,8392,3,9
2016,Thomas van der Plaetsen,be,8332,3,16
2016,Kurt Felix,gd,8323,3,7
2016,Luiz Alberto de Araújo,br,8315,3,4
2016,Jeremy Taiwo,us,8300,3,8
2016,Adam Helcelet,cz,8291,3,10
2016,Bastien Auzeil,fr,8064,3,14
2016,Cedric Dubler,au,8024,3,19
2016,Arthur Abele,de,8013,3,12
2016,Lindon Victor,gd,7998,3,11
2016,Pau Tonnesen,es,7982,3,20
2016,Yordanis García,cu,7961,3,15
2016,Dominik Distelberger,at,7954,3,13
2016,Keisuke Ushiro,jp,7952,3,22
2016,Pawel Wiesiolek,pl,7784,3,21
2016,Akihiko Nakamura,jp,7612,3,23
2016,Karl Robert Saluri,ee,7223,3,16
2016,Ashton Eaton,us,8893,4,1
2016,Kévin Mayer,fr,8834,4,4
2016,Damian Warner,ca,8666,4,2
2016,Kai Kazmirek,de,8580,4,5
2016,Larbi Bourrada,dz,8521,4,6
2016,Leonel Suárez,cu,8460,4,14
2016,Zach Ziemek,us,8392,4,7
2016,Thomas van der Plaetsen,be,8332,4,9
2016,Kurt Felix,gd,8323,4,8
2016,Luiz Alberto de Araújo,br,8315,4,11
2016,Jeremy Taiwo,us,8300,4,3
2016,Adam Helcelet,cz,8291,4,10
2016,Bastien Auzeil,fr,8064,4,17
2016,Cedric Dubler,au,8024,4,12
2016,Arthur Abele,de,8013,4,14
2016,Lindon Victor,gd,7998,4,13
2016,Pau Tonnesen,es,7982,4,18
2016,Yordanis García,cu,7961,4,16
2016,Dominik Distelberger,at,7954,4,20
2016,Keisuke Ushiro,jp,7952,4,21
2016,Pawel Wiesiolek,pl,7784,4,19
2016,Akihiko Nakamura,jp,7612,4,23
2016,Karl Robert Saluri,ee,7223,4,22
2016,Ashton Eaton,us,8893,5,1
2016,Kévin Mayer,fr,8834,5,4
2016,Damian Warner,ca,8666,5,3
2016,Kai Kazmirek,de,8580,5,2
2016,Larbi Bourrada,dz,8521,5,6
2016,Leonel Suárez,cu,8460,5,13
2016,Zach Ziemek,us,8392,5,9
2016,Thomas van der Plaetsen,be,8332,5,10
2016,Kurt Felix,gd,8323,5,7
2016,Luiz Alberto de Araújo,br,8315,5,8
2016,Jeremy Taiwo,us,8300,5,5
2016,Adam Helcelet,cz,8291,5,12
2016,Bastien Auzeil,fr,8064,5,17
2016,Cedric Dubler,au,8024,5,11
2016,Arthur Abele,de,8013,5,14
2016,Lindon Victor,gd,7998,5,16
2016,Pau Tonnesen,es,7982,5,20
2016,Yordanis García,cu,7961,5,15
2016,Dominik Distelberger,at,7954,5,18
2016,Keisuke Ushiro,jp,7952,5,22
2016,Pawel Wiesiolek,pl,7784,5,19
2016,Akihiko Nakamura,jp,7612,5,21
2016,Karl Robert Saluri,ee,7223,5,23
2016,Ashton Eaton,us,8893,6,1
2016,Kévin Mayer,fr,8834,6,3
2016,Damian Warner,ca,8666,6,2
2016,Kai Kazmirek,de,8580,6,4
2016,Larbi Bourrada,dz,8521,6,5
2016,Leonel Suárez,cu,8460,6,13
2016,Zach Ziemek,us,8392,6,10
2016,Thomas van der Plaetsen,be,8332,6,14
2016,Kurt Felix,gd,8323,6,8
2016,Luiz Alberto de Araújo,br,8315,6,7
2016,Jeremy Taiwo,us,8300,6,6
2016,Adam Helcelet,cz,8291,6,11
2016,Bastien Auzeil,fr,8064,6,17
2016,Cedric Dubler,au,8024,6,9
2016,Arthur Abele,de,8013,6,12
2016,Lindon Victor,gd,7998,6,18
2016,Pau Tonnesen,es,7982,6,19
2016,Yordanis García,cu,7961,6,15
2016,Dominik Distelberger,at,7954,6,16
2016,Keisuke Ushiro,jp,7952,6,22
2016,Pawel Wiesiolek,pl,7784,6,19
2016,Akihiko Nakamura,jp,7612,6,21
2016,Karl Robert Saluri,ee,7223,6,23
2016,Ashton Eaton,us,8893,7,1
2016,Kévin Mayer,fr,8834,7,3
2016,Damian Warner,ca,8666,7,2
2016,Kai Kazmirek,de,8580,7,4
2016,Larbi Bourrada,dz,8521,7,5
2016,Leonel Suárez,cu,8460,7,10
2016,Zach Ziemek,us,8392,7,6
2016,Thomas van der Plaetsen,be,8332,7,14
2016,Kurt Felix,gd,8323,7,9
2016,Luiz Alberto de Araújo,br,8315,7,7
2016,Jeremy Taiwo,us,8300,7,8
2016,Adam Helcelet,cz,8291,7,11
2016,Bastien Auzeil,fr,8064,7,17
2016,Cedric Dubler,au,8024,7,15
2016,Arthur Abele,de,8013,7,12
2016,Lindon Victor,gd,7998,7,13
2016,Pau Tonnesen,es,7982,7,19
2016,Yordanis García,cu,7961,7,16
2016,Dominik Distelberger,at,7954,7,20
2016,Keisuke Ushiro,jp,7952,7,21
2016,Pawel Wiesiolek,pl,7784,7,18
2016,Akihiko Nakamura,jp,7612,7,22
2016,Karl Robert Saluri,ee,7223,7,23
2016,Ashton Eaton,us,8893,8,1
2016,Kévin Mayer,fr,8834,8,2
2016,Damian Warner,ca,8666,8,3
2016,Kai Kazmirek,de,8580,8,4
2016,Larbi Bourrada,dz,8521,8,9
2016,Leonel Suárez,cu,8460,8,10
2016,Zach Ziemek,us,8392,8,5
2016,Thomas van der Plaetsen,be,8332,8,8
2016,Kurt Felix,gd,8323,8,12
2016,Luiz Alberto de Araújo,br,8315,8,7
2016,Jeremy Taiwo,us,8300,8,6
2016,Adam Helcelet,cz,8291,8,11
2016,Bastien Auzeil,fr,8064,8,14
2016,Cedric Dubler,au,8024,8,13
2016,Arthur Abele,de,8013,8,15
2016,Lindon Victor,gd,7998,8,17
2016,Pau Tonnesen,es,7982,8,16
2016,Yordanis García,cu,7961,8,18
2016,Dominik Distelberger,at,7954,8,20
2016,Keisuke Ushiro,jp,7952,8,19
2016,Pawel Wiesiolek,pl,7784,8,21
2016,Akihiko Nakamura,jp,7612,8,22
2016,Karl Robert Saluri,ee,7223,8,23
2016,Ashton Eaton,us,8893,9,1
2016,Kévin Mayer,fr,8834,9,2
2016,Damian Warner,ca,8666,9,3
2016,Kai Kazmirek,de,8580,9,4
2016,Larbi Bourrada,dz,8521,9,7
2016,Leonel Suárez,cu,8460,9,6
2016,Zach Ziemek,us,8392,9,5
2016,Thomas van der Plaetsen,be,8332,9,8
2016,Kurt Felix,gd,8323,9,9
2016,Luiz Alberto de Araújo,br,8315,9,10
2016,Jeremy Taiwo,us,8300,9,12
2016,Adam Helcelet,cz,8291,9,11
2016,Bastien Auzeil,fr,8064,9,14
2016,Cedric Dubler,au,8024,9,19
2016,Arthur Abele,de,8013,9,13
2016,Lindon Victor,gd,7998,9,15
2016,Pau Tonnesen,es,7982,9,16
2016,Yordanis García,cu,7961,9,17
2016,Dominik Distelberger,at,7954,9,20
2016,Keisuke Ushiro,jp,7952,9,18
2016,Pawel Wiesiolek,pl,7784,9,21
2016,Akihiko Nakamura,jp,7612,9,22
2016,Karl Robert Saluri,ee,7223,9,23
2016,Ashton Eaton,us,8893,10,1
2016,Kévin Mayer,fr,8834,10,2
2016,Damian Warner,ca,8666,10,3
2016,Kai Kazmirek,de,8580,10,4
2016,Larbi Bourrada,dz,8521,10,5
2016,Leonel Suárez,cu,8460,10,6
2016,Zach Ziemek,us,8392,10,7
2016,Thomas van der Plaetsen,be,8332,10,8
2016,Kurt Felix,gd,8323,10,9
2016,Luiz Alberto de Araújo,br,8315,10,10
2016,Jeremy Taiwo,us,8300,10,11
2016,Adam Helcelet,cz,8291,10,12
2016,Bastien Auzeil,fr,8064,10,13
2016,Cedric Dubler,au,8024,10,14
2016,Arthur Abele,de,8013,10,15
2016,Lindon Victor,gd,7998,10,16
2016,Pau Tonnesen,es,7982,10,17
2016,Yordanis García,cu,7961,10,18
2016,Dominik Distelberger,at,7954,10,19
2016,Keisuke Ushiro,jp,7952,10,20
2016,Pawel Wiesiolek,pl,7784,10,21
2016,Akihiko Nakamura,jp,7612,10,22
2016,Karl Robert Saluri,ee,7223,10,23
